ensembl_gene_id,hgnc_symbol,hg
ENSG00000000003,TSPAN6,hg38
ENSG00000000005,TNMD,hg38
ENSG00000000419,DPM1,hg38
ENSG00000000457,SCYL3,hg38
ENSG00000000460,C1orf112,hg38
ENSG00000000938,FGR,hg38
ENSG00000000971,CFH,hg38
ENSG00000001036,FUCA2,hg38
ENSG00000001084,GCLC,hg38
ENSG00000001167,NFYA,hg38
ENSG00000001460,STPG1,hg38
ENSG00000001461,NIPAL3,hg38
ENSG00000001497,LAS1L,hg38
ENSG00000001561,ENPP4,hg38
ENSG00000001617,SEMA3F,hg38
ENSG00000001626,CFTR,hg38
ENSG00000001629,ANKIB1,hg38
ENSG00000001630,CYP51A1,hg38
ENSG00000001631,KRIT1,hg38
ENSG00000002016,RAD52,hg38
ENSG00000002079,MYH16,hg38
ENSG00000002330,BAD,hg38
ENSG00000002549,LAP3,hg38
ENSG00000002586,CD99,hg38
ENSG00000002587,HS3ST1,hg38
ENSG00000002726,AOC1,hg38
ENSG00000002745,WNT16,hg38
ENSG00000002746,HECW1,hg38
ENSG00000002822,MAD1L1,hg38
ENSG00000002834,LASP1,hg38
ENSG00000002919,SNX11,hg38
ENSG00000002933,TMEM176A,hg38
ENSG00000003056,M6PR,hg38
ENSG00000003096,KLHL13,hg38
ENSG00000003137,CYP26B1,hg38
ENSG00000003147,ICA1,hg38
ENSG00000003249,DBNDD1,hg38
ENSG00000003393,ALS2,hg38
ENSG00000003400,CASP10,hg38
ENSG00000003402,CFLAR,hg38
ENSG00000003436,TFPI,hg38
ENSG00000003509,NDUFAF7,hg38
ENSG00000003756,RBM5,hg38
ENSG00000003987,MTMR7,hg38
ENSG00000003989,SLC7A2,hg38
ENSG00000004059,ARF5,hg38
ENSG00000004139,SARM1,hg38
ENSG00000004142,POLDIP2,hg38
ENSG00000004399,PLXND1,hg38
ENSG00000004455,AK2,hg38
ENSG00000004468,CD38,hg38
ENSG00000004478,FKBP4,hg38
ENSG00000004487,KDM1A,hg38
ENSG00000004534,RBM6,hg38
ENSG00000004660,CAMKK1,hg38
ENSG00000004700,RECQL,hg38
ENSG00000004766,VPS50,hg38
ENSG00000004776,HSPB6,hg38
ENSG00000004777,ARHGAP33,hg38
ENSG00000004779,NDUFAB1,hg38
ENSG00000004799,PDK4,hg38
ENSG00000004809,SLC22A16,hg38
ENSG00000004838,ZMYND10,hg38
ENSG00000004846,ABCB5,hg38
ENSG00000004848,ARX,hg38
ENSG00000004864,SLC25A13,hg38
ENSG00000004866,ST7,hg38
ENSG00000004897,CDC27,hg38
ENSG00000004939,SLC4A1,hg38
ENSG00000004948,CALCR,hg38
ENSG00000004961,HCCS,hg38
